,RootMyc1,YawBrMyp,YawBrMzp
case_296_optimal_k_cases_turbsim_ref_outdata_296.mat,152926.7429342473,7613.75731556555,49000.967904544
case_22_optimal_k_cases_turbsim_ref_outdata_22.mat,152357.69511749703,11833.704831176015,48603.28251795697
case_306_optimal_k_cases_turbsim_ref_outdata_306.mat,184104.9493839804,37154.04664267942,238800.25010704022
case_98_optimal_k_cases_turbsim_ref_outdata_98.mat,153732.3844083628,8320.894643343074,51279.852358546064
case_79_optimal_k_cases_turbsim_ref_outdata_79.mat,139753.8668558504,4429.896136939918,29597.20709588295
case_314_optimal_k_cases_turbsim_ref_outdata_314.mat,148027.39843811718,6190.684867999758,42303.50524537197
case_284_optimal_k_cases_turbsim_ref_outdata_284.mat,157125.78959583404,11355.353952591213,51110.04650181054
case_361_optimal_k_cases_turbsim_ref_outdata_361.mat,161696.55409442756,11012.7874612883,55190.98339151553
case_217_optimal_k_cases_turbsim_ref_outdata_217.mat,156209.8030455577,12312.348084541847,48228.12354412492
case_387_optimal_k_cases_turbsim_ref_outdata_387.mat,217192.6769332367,41079.08953721061,270633.0197279001
case_81_optimal_k_cases_turbsim_ref_outdata_81.mat,145103.9783605211,15304.971838579388,88718.96030617246
case_229_optimal_k_cases_turbsim_ref_outdata_229.mat,148485.61546162324,6328.361462130795,41312.6397727145
case_60_optimal_k_cases_turbsim_ref_outdata_60.mat,183855.6601521048,30872.17229006407,202597.3098254478
case_262_optimal_k_cases_turbsim_ref_outdata_262.mat,139754.85263443895,5717.036553109503,34889.82021997502
case_154_optimal_k_cases_turbsim_ref_outdata_154.mat,139879.77436945465,10993.103245287883,34790.03662090592
case_402_optimal_k_cases_turbsim_ref_outdata_402.mat,199914.9648568675,39534.087844639886,228867.77561625667
case_121_optimal_k_cases_turbsim_ref_outdata_121.mat,154525.62412984835,11295.747059760248,46170.90171649866
case_449_optimal_k_cases_turbsim_ref_outdata_449.mat,140244.884608518,5290.3652529413175,32231.443287837857
case_181_optimal_k_cases_turbsim_ref_outdata_181.mat,161698.1383596385,11012.458513355492,55180.4133656161
case_327_optimal_k_cases_turbsim_ref_outdata_327.mat,174899.78461320343,35135.43227381117,204938.43072940604
case_4_optimal_k_cases_turbsim_ref_outdata_4.mat,153592.94854882508,11795.115627340956,52112.89953436818
case_289_optimal_k_cases_turbsim_ref_outdata_289.mat,154885.98780208893,7140.368418427575,45627.61493483415
case_319_optimal_k_cases_turbsim_ref_outdata_319.mat,148485.0946225596,6328.507595325661,41323.53145660835
case_352_optimal_k_cases_turbsim_ref_outdata_352.mat,139753.37106380565,5717.058505171409,34885.86452139432
case_224_optimal_k_cases_turbsim_ref_outdata_224.mat,148028.56782176625,6190.686204785624,42333.19662396605
case_251_optimal_k_cases_turbsim_ref_outdata_251.mat,141670.38776069018,5355.123504483264,34625.94715119204
case_15_optimal_k_cases_turbsim_ref_outdata_15.mat,228316.7946295618,45549.97871667934,294297.64280617674
case_167_optimal_k_cases_turbsim_ref_outdata_167.mat,139238.1996267017,4694.179971153515,32121.506147905937
case_444_optimal_k_cases_turbsim_ref_outdata_444.mat,141208.07076218238,20468.812077505132,113505.66056867942
case_3_optimal_k_cases_turbsim_ref_outdata_3.mat,248227.75008986986,45938.30994293117,314886.6219862052
case_77_optimal_k_cases_turbsim_ref_outdata_77.mat,139242.09645743316,4693.959966407812,32060.559249332076
case_159_optimal_k_cases_turbsim_ref_outdata_159.mat,156486.60013411974,29757.85372096787,165664.46330266036
case_96_optimal_k_cases_turbsim_ref_outdata_96.mat,221553.6869481143,46832.01996469935,280001.6080825851
case_431_optimal_k_cases_turbsim_ref_outdata_431.mat,141669.05490553819,5362.265261070646,34633.501634353626
case_112_optimal_k_cases_turbsim_ref_outdata_112.mat,152355.88768425543,11833.772367910897,48630.817105052694
case_348_optimal_k_cases_turbsim_ref_outdata_348.mat,143013.9037721697,18195.62739321124,94720.13674353625
case_303_optimal_k_cases_turbsim_ref_outdata_303.mat,192835.8056572084,38506.10470804866,232991.89702619967
case_293_optimal_k_cases_turbsim_ref_outdata_293.mat,152354.48888809455,11833.76705399831,48653.4491807382
case_376_optimal_k_cases_turbsim_ref_outdata_376.mat,154042.58844300243,6794.98658452733,51143.09946039482
case_39_optimal_k_cases_turbsim_ref_outdata_39.mat,186671.35862502447,40996.47858664475,243095.67257639047
case_108_optimal_k_cases_turbsim_ref_outdata_108.mat,198839.67804154113,41469.73862375652,277146.746922724
case_143_optimal_k_cases_turbsim_ref_outdata_143.mat,147127.70037434372,11544.361276054202,41429.48075954282
case_136_optimal_k_cases_turbsim_ref_outdata_136.mat,142712.35749830797,10877.620115250322,37999.24935929574
case_415_optimal_k_cases_turbsim_ref_outdata_415.mat,150951.30495661052,11533.233873567138,41938.36971300183
case_42_optimal_k_cases_turbsim_ref_outdata_42.mat,199673.16540887151,39851.08432298338,229344.21165281488
case_20_optimal_k_cases_turbsim_ref_outdata_20.mat,154888.39883528574,7140.3671885112435,45574.859686347794
case_200_optimal_k_cases_turbsim_ref_outdata_200.mat,154886.34751268686,7140.366761878405,45623.80536942921
case_390_optimal_k_cases_turbsim_ref_outdata_390.mat,210577.32590236366,39274.9853854731,270689.7720969139
case_275_optimal_k_cases_turbsim_ref_outdata_275.mat,153555.78771172534,11796.61981537398,52139.873393382484
case_330_optimal_k_cases_turbsim_ref_outdata_330.mat,183674.3769382747,31078.602743890086,200980.68846153494
case_345_optimal_k_cases_turbsim_ref_outdata_345.mat,162311.83123992322,28410.7979019659,156162.8883999617
case_9_optimal_k_cases_turbsim_ref_outdata_9.mat,221857.67667220163,46142.36811013585,286747.57134017965
case_196_optimal_k_cases_turbsim_ref_outdata_196.mat,154043.14749715192,6794.985639270888,51131.59801099511
case_170_optimal_k_cases_turbsim_ref_outdata_170.mat,139753.8668558504,4428.50335376427,29669.745725611494
case_418_optimal_k_cases_turbsim_ref_outdata_418.mat,144152.7824436028,11227.04462947199,35689.77048481647
case_37_optimal_k_cases_turbsim_ref_outdata_37.mat,156211.92867742715,12311.536107654534,48108.44395243562
case_105_optimal_k_cases_turbsim_ref_outdata_105.mat,225023.73793477638,45522.43239572307,293717.91095812916
case_426_optimal_k_cases_turbsim_ref_outdata_426.mat,159273.5358008833,28899.788505027787,161214.83655926882
case_278_optimal_k_cases_turbsim_ref_outdata_278.mat,153730.92209983314,8320.895085269427,51296.47239593082
case_233_optimal_k_cases_turbsim_ref_outdata_233.mat,147126.01673455615,11544.360797084566,41381.22789374065
case_55_optimal_k_cases_turbsim_ref_outdata_55.mat,150955.93765286397,11531.54147301281,41876.740951352724
case_246_optimal_k_cases_turbsim_ref_outdata_246.mat,158961.2502529585,28729.194572444696,160736.57874873473
case_117_optimal_k_cases_turbsim_ref_outdata_117.mat,216241.86516370781,41343.800046851444,270125.21777492756
case_434_optimal_k_cases_turbsim_ref_outdata_434.mat,140310.87173523512,5513.492629843172,36556.51222264667
case_441_optimal_k_cases_turbsim_ref_outdata_441.mat,143569.84032888457,16148.633571123408,85814.43277698755
