,RootMyc1,YawBrMyp,YawBrMzp
case_160_optimal_k_cases_turbsim_wu_outdata_160.mat,141781.79493169088,5356.9047744702375,34070.829725365715
case_338_optimal_k_cases_turbsim_wu_outdata_338.mat,142546.44979368686,5677.660294623963,35678.425567184386
case_181_optimal_k_cases_turbsim_wu_outdata_181.mat,161696.20037483642,11012.83317116157,55196.14686391335
case_7_optimal_k_cases_turbsim_wu_outdata_7.mat,153954.26793641207,8394.442350532476,50906.52358515983
case_67_optimal_k_cases_turbsim_wu_outdata_67.mat,143033.36863666357,5814.1687590730635,34853.64255596079
case_268_optimal_k_cases_turbsim_wu_outdata_268.mat,140244.4687526216,5290.360738661146,32229.337908538964
case_102_optimal_k_cases_turbsim_wu_outdata_102.mat,153675.762706419,15477.540789752147,82285.81070360822
case_289_optimal_k_cases_turbsim_wu_outdata_289.mat,153753.75891993518,7063.921197295642,45607.3287975533
case_321_optimal_k_cases_turbsim_wu_outdata_321.mat,189432.6282471929,37842.12529387455,232691.65703656414
case_179_optimal_k_cases_turbsim_wu_outdata_179.mat,140386.74607273735,5305.1893559692635,32149.79963101578
case_213_optimal_k_cases_turbsim_wu_outdata_213.mat,193362.105316337,38279.49821534105,232565.98690297868
case_403_optimal_k_cases_turbsim_wu_outdata_403.mat,144951.12363818916,6218.319406657757,42287.41114292615
case_198_optimal_k_cases_turbsim_wu_outdata_198.mat,199596.67878473402,41416.76448494425,274539.58039836393
case_271_optimal_k_cases_turbsim_wu_outdata_271.mat,159781.87976451122,11154.959084565186,55929.885004591444
case_60_optimal_k_cases_turbsim_wu_outdata_60.mat,138849.64213415398,12274.767128360256,38567.958010523034
case_343_optimal_k_cases_turbsim_wu_outdata_343.mat,139743.39251442376,5487.347664698442,37025.6534803795
